USPS,GEOID,ANSICODE,NAME,Countym,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
CA,6083,277306,Santa Barbara County,"Santa Barbara County, CA",7084063392,2729751706,2735.172,1053.963,34.537057,-120.039973
CA,6085,277307,Santa Clara County,"Santa Clara County, CA",3343890934,33595384,1291.084,12.971,37.220695,-121.69051
CA,6087,277308,Santa Cruz County,"Santa Cruz County, CA",1152794691,419743117,445.097,162.064,37.012488,-122.007205
CA,6089,1682610,Shasta County,"Shasta County, CA",9778407493,186302040,3775.464,71.932,40.760514,-122.043556
CA,6091,277310,Sierra County,"Sierra County, CA",2468694583,23299110,953.168,8.996,39.576925,-120.521993
CA,6093,277311,Siskiyou County,"Siskiyou County, CA",16261933244,179149815,6278.768,69.17,41.587986,-122.533287
CA,6095,277312,Solano County,"Solano County, CA",2128488719,218671901,821.814,84.43,38.267226,-121.939594
CA,6097,1657246,Sonoma County,"Sonoma County, CA",4080764059,498182342,1575.592,192.349,38.525182,-122.92611
CA,6099,277314,Stanislaus County,"Stanislaus County, CA",3874667416,46351766,1496.018,17.897,37.562316,-121.002831
CA,6101,277315,Sutter County,"Sutter County, CA",1560546528,15240591,602.53,5.884,39.03619,-121.70394
CA,6103,1692767,Tehama County,"Tehama County, CA",7638228749,33767783,2949.137,13.038,40.126157,-122.232274
CA,6105,277317,Trinity County,"Trinity County, CA",8234265082,73407950,3179.268,28.343,40.647803,-123.114476
CA,6107,277318,Tulare County,"Tulare County, CA",12494889125,37207487,4824.304,14.366,36.228834,-118.781055
CA,6109,277319,Tuolumne County,"Tuolumne County, CA",5752029633,138772442,2220.871,53.58,38.021434,-119.964733
CA,6111,277320,Ventura County,"Ventura County, CA",4771987962,947345370,1842.475,365.772,34.358741,-119.133143
CA,6113,277321,Yolo County,"Yolo County, CA",2628144759,22878428,1014.732,8.833,38.679596,-121.902441
CA,6115,277322,Yuba County,"Yuba County, CA",1636913845,31057995,632.016,11.992,39.27013,-121.344259
CO,8001,198116,Adams County,"Adams County, CO",3020716474,44323330,1166.305,17.113,39.874325,-104.331872
CO,8003,198117,Alamosa County,"Alamosa County, CO",1871465874,1847610,722.577,0.713,37.568442,-105.788041
CO,8005,198118,Arapahoe County,"Arapahoe County, CO",2066706152,19421685,797.96,7.499,39.644554,-104.331706
CO,8007,198119,Archuleta County,"Archuleta County, CO",3496712109,13740247,1350.088,5.305,37.202395,-107.050863
CO,8009,198120,Baca County,"Baca County, CO",6617400568,6142192,2554.993,2.372,37.30978,-102.543741
CO,8011,198121,Bent County,"Bent County, CO",3918255147,73141518,1512.847,28.24,37.931891,-103.077584
CO,8013,198122,Boulder County,"Boulder County, CO",1881309466,36493405,726.378,14.09,40.09497,-105.397691
CO,8014,1945881,Broomfield County,"Broomfield County, CO",85478765,1411396,33.004,0.545,39.953593,-105.050787
CO,8015,198123,Chaffee County,"Chaffee County, CO",2624715697,3999975,1013.408,1.544,38.738223,-106.316683
CO,8017,198124,Cheyenne County,"Cheyenne County, CO",4605713960,8166129,1778.276,3.153,38.835646,-102.601791
CO,8019,198125,Clear Creek County,"Clear Creek County, CO",1023234039,3274908,395.073,1.264,39.669732,-105.69257
CO,8021,198126,Conejos County,"Conejos County, CO",3334423894,9235012,1287.428,3.566,37.213406,-106.176447
CO,8023,198127,Costilla County,"Costilla County, CO",3179452298,8828906,1227.593,3.409,37.277547,-105.42894
CO,8025,198128,Crowley County,"Crowley County, CO",2039427872,33422981,787.428,12.905,38.30618,-103.772736
CO,8027,198129,Custer County,"Custer County, CO",1913031921,3364150,738.626,1.299,38.101996,-105.373512
CO,8029,198130,Delta County,"Delta County, CO",2958090985,16786780,1142.125,6.481,38.861595,-107.864892
CO,8031,198131,Denver County,"Denver County, CO",397024773,4245401,153.292,1.639,39.76185,-104.881105
CO,8033,198132,Dolores County,"Dolores County, CO",2763958510,2716141,1067.17,1.049,37.711723,-108.524116
CO,8035,198133,Douglas County,"Douglas County, CO",2176240583,6798120,840.251,2.625,39.325414,-104.925987
CO,8037,198134,Eagle County,"Eagle County, CO",4362757834,18967056,1684.47,7.323,39.626992,-106.695169
CO,8039,198136,Elbert County,"Elbert County, CO",4793643980,442147,1850.836,0.171,39.315157,-104.114076
CO,8041,198135,El Paso County,"El Paso County, CO",5508514019,7087627,2126.849,2.737,38.827383,-104.527472
CO,8043,198137,Fremont County,"Fremont County, CO",3970664378,2235542,1533.082,0.863,38.45517,-105.424958
CO,8045,198138,Garfield County,"Garfield County, CO",7633795354,21708518,2947.425,8.382,39.599352,-107.90978
CO,8047,198139,Gilpin County,"Gilpin County, CO",388556733,942056,150.023,0.364,39.861156,-105.528878
CO,8049,198140,Grand County,"Grand County, CO",4782273598,59889262,1846.446,23.123,40.113065,-106.110837
CO,8051,198141,Gunnison County,"Gunnison County, CO",8389338078,53067068,3239.142,20.489,38.670499,-107.05688
CO,8053,198142,Hinsdale County,"Hinsdale County, CO",2893614473,15324685,1117.231,5.917,37.821165,-107.338261
CO,8055,198143,Huerfano County,"Huerfano County, CO",4120756304,5792101,1591.033,2.236,37.687815,-104.959928
